id,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,EXT,AGR,CON,NEG,OPE,coding,cooking,dancing,gaming,music,painting,photography,reading,sports,tech,travel,writing,age_13-18,age_18-25,age_26-30,age_31-40,age_41-50,age_60
1,1,0,0.3,0,0.574468085,9,0.542372881,0.687293231,0.868603376,0.950192543,0.471428571,0.647018636,0.779236529,0.3925,0,0.3925,0.75,0.385,1,0,0,0,1,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2,0,0,0.2,0,1,6,0.830508475,0.769584486,0.924916215,1,0.857142857,0.788211181,0.830181945,0.355,0.705,0.6575,0.2925,0.93,0,0,0,0,1,0,0,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3,0,0,0.9,1,0.276595745,8,0.677966102,0.950625247,0.906145269,0.933590057,0.5,0.594071431,0.898109167,0.4225,0.5575,0.6375,0.76,0.87,0,0,0,0,1,0,1,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
4,0,0,0.5,0,0.063829787,1,0.508474576,0.572085475,0.774748645,0.667950285,0.842857143,0.346984476,0.762254723,0.4525,0.3725,0.4225,0.4525,0.7875,0,0,0,1,0,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5,1,0,0.5,0,0.212765957,12,0.728813559,0.621460227,0.343016882,0.418912998,0.714285714,0.541124226,0.592436668,0.3375,0.2525,0.37,0.5575,0.185,1,0,0,0,0,0,0,0,1,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
6,0,0,0.2,0,0.553191489,12,0.881355932,1,0.380558775,0.634745313,0.6,0.647018636,0.728291112,0.195,0.455,0.4225,0.25,0,0,0,1,0,0,0,1,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,1,0,0.3,1,0.489361702,13,0.983050847,0.934166996,0.943687161,0.551732884,0.828571429,0.576422363,0.388655002,0.765,1,0.805,0.105,0.25,0,0,0,0,0,0,1,0,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
8,1,1,0.2,1,0.723404255,13,0.915254237,0.917708745,0.662122968,0.385708027,0.771428571,0.470527953,0.745272918,0.725,0.8175,1,0.79,0.6375,0,0,0,0,0,0,1,0,1,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
9,1,0,0.6,0,0.531914894,12,0.898305085,0.473335969,0.887374323,0.750962713,0.728571429,0.541124226,0.524509446,0.795,0.515,0.0225,0.5,0.245,0,0,0,0,1,1,1,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
10,0,0,0.3,1,0.382978723,15,0.966101695,0.48979422,0.774748645,0.518527913,0.528571429,0.488177022,0.541491252,0.3925,0.3775,0.4775,0.7225,0.5575,0,0,0,0,1,0,0,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
11,0,0,0.2,0,0.14893617,15,0.406779661,0.341669961,0.943687161,0.900385085,0.585714286,0.664667704,0.422618613,1,0.17,0.5225,0.5225,0.43,0,0,0,0,0,0,0,1,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
12,1,0,0.1,0,0.14893617,12,0.661016949,0.358128212,1,0.418912998,0.814285714,0.364633544,0.337709586,0.42,0.065,0.2125,0,0,0,0,0,0,1,0,0,0,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
13,0,1,0.7,0,0.085106383,3,0.898305085,0.32521171,0.418100667,0.45211797,0.842857143,0.382282612,0.541491252,1,0.5325,0.5,0.245,0.545,0,0,0,1,1,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
14,0,0,1,0,0.042553191,3,0.423728814,0.901250494,0.737206753,1,0.385714286,0.823509318,0.371673197,0.66,0.5175,0.785,0.695,0.2025,0,1,0,0,0,0,0,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
15,0,0,0.3,0,0.829787234,6,0.93220339,0.83541749,0.737206753,0.867180114,0.885714286,0.911754659,0.779236529,0.88,0.6275,1,0.335,0.4725,1,0,0,0,0,0,0,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
