id,age,education_level,cgpa,math_score,physics_score,biology_score,history_score,openness,conscientiousness,extraversion,agreeableness,neuroticism,weekly_self_study_hours,interests,budget,career_demand_score,career_aspiration,coding,cooking,dance,finance,gaming,history,music,painting,reading,research,science,sports,travel,writing
1,21,3,0.14000000000000012,0.19999999999999996,0.43999999999999995,0.24,0.5,0.0,1.0,0.0,0.0,0.5,0.2857142857142857,3,0.6875,0.0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2,15,0,0.7000000000000002,0.6000000000000001,0.7,0.8600000000000001,0.08000000000000007,0.5,0.75,0.5,0.25,0.5,0.2,0,0.0625,0.42857142857142855,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,28,2,0.74,0.52,0.6400000000000001,0.6799999999999999,0.54,0.25,0.5,0.0,0.5,0.0,0.5428571428571429,1,0.25,0.7142857142857142,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,20,3,0.41999999999999993,0.45999999999999996,0.45999999999999996,0.08000000000000007,0.54,0.75,0.5,0.75,0.25,0.75,0.3714285714285714,2,0.1875,0.5714285714285714,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5,21,3,0.3400000000000001,0.54,0.21999999999999997,0.52,0.15999999999999992,0.25,1.0,0.25,0.5,0.25,0.45714285714285713,2,0.5625,0.857142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,16,1,0.0,0.3800000000000001,0.19999999999999996,0.8800000000000001,0.30000000000000004,0.5,1.0,0.5,0.5,0.5,0.2,2,0.0,0.9999999999999998,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7,23,3,0.6800000000000002,0.19999999999999996,0.3400000000000001,0.10000000000000009,0.3400000000000001,0.25,0.0,0.25,0.5,0.5,0.42857142857142855,2,0.5625,0.28571428571428564,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
8,25,2,0.6200000000000001,0.48,0.74,0.43999999999999995,0.6200000000000001,0.75,0.5,0.25,0.0,0.0,0.3142857142857143,0,0.4375,0.28571428571428564,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,13,0,0.3800000000000001,0.8,0.40000000000000013,0.40000000000000013,0.30000000000000004,0.25,0.25,0.5,0.5,0.5,0.34285714285714286,0,0.125,0.28571428571428564,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10,13,0,0.3600000000000001,0.8,0.21999999999999997,0.1200000000000001,0.43999999999999995,0.25,0.5,0.25,0.5,0.75,0.3714285714285714,0,0.4375,0.9999999999999998,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,16,1,0.52,0.10000000000000009,0.26,0.32000000000000006,0.72,0.5,0.75,0.25,0.0,0.5,0.3142857142857143,2,0.3125,0.14285714285714285,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,15,0,0.18000000000000016,0.30000000000000004,0.3600000000000001,0.52,0.14000000000000012,0.75,0.0,0.75,0.5,0.25,0.42857142857142855,1,0.4375,0.42857142857142855,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0
13,16,1,0.30000000000000004,0.28,0.7,0.45999999999999996,0.6200000000000001,0.75,0.25,0.25,0.25,0.25,0.3714285714285714,0,0.5,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
